"제품코드","제품명","지시번호","설비코드","설비명","작업실코드","작업실명","공정코드","공정명","공정시작시간","공정종료시간","작업자","작업방법","설비가동시간","설비종료시간","충전투입일"
"BOXBLB","OX바디로션(바질)","W26050112W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","40분간 교반 용해",2026-05-11 10:32:00,2026-05-11 11:51:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","40분간 교반 용해",2026-05-11 11:51:00,2026-05-11 11:51:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","30분간 교반 용해",2026-05-11 12:03:00,2026-05-11 12:03:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","12분 교반",2026-05-11 10:39:00,2026-05-11 10:51:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","3분 교반",2026-05-11 10:54:00,2026-05-11 10:58:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","5분 교반",2026-05-11 10:59:00,2026-05-11 11:04:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","3분 교반",2026-05-11 11:24:00,2026-05-11 11:27:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050114W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","40분간 교반 용해",2026-05-11 12:07:00,2026-05-11 13:30:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050114W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","40분간 교반 용해",2026-05-11 13:30:00,2026-05-11 14:00:00,2026-05-13 00:00:00
"BOXBLB","OX바디로션(바질)","W26050114W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","30분간 교반 용해",2026-05-11 14:00:00,2026-05-11 14:25:00,2026-05-13 00:00:00
