"공장코드","제품코드","제품명","지시번호","설비코드","설비명","작업실코드","작업실명","공정코드","공정명","공정시작시간","공정종료시간","작업자","작업방법","설비가동시작시간","설비가동종료시간","설비최소가동시간","설비최대가동시간","충전투입일"
"1","BUP13049","P 스파리무버(수상)","W26050109W10","BM10002","B/M 2호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:50:00,2026-05-11 17:34:00,"LCCUser","5분 교반",2026-05-11 16:53:00,2026-05-11 16:58:44,5,5,2026-05-12 00:00:00
"1","BUP13049","P 스파리무버(수상)","W26050109W10","BM10002","B/M 2호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:50:00,2026-05-11 17:34:00,"LCCUser","20분 교반",2026-05-11 17:13:00,2026-05-11 17:33:58,20,20,2026-05-12 00:00:00
"1","BUP13049","P 스파리무버(수상)","W26050109W10","BM10002","B/M 2호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:50:00,2026-05-11 17:34:00,"LCCUser","10분 교반",2026-05-11 17:02:00,2026-05-11 17:13:04,10,10,2026-05-12 00:00:00
"3","BUV115370","VLC오리지날","W26050110W10","LC20012","L/C 2호","3-R003","3공장 배합실","C03","M/M",2026-05-11 09:45:00,2026-05-11 11:49:00,"LCCUser","30분 교반",2026-05-11 10:04:00,2026-05-11 10:34:00,30,30,2026-05-12 00:00:00
"3","BUV115370","VLC오리지날","W26050110W10","LC20012","L/C 2호","3-R003","3공장 배합실","C03","M/M",2026-05-11 09:45:00,2026-05-11 11:49:00,"LCCUser","20분 교반",2026-05-11 10:36:00,2026-05-11 10:56:00,20,20,2026-05-12 00:00:00
"3","BUV115370","VLC오리지날","W26050110W10","LC20012","L/C 2호","3-R003","3공장 배합실","C03","M/M",2026-05-11 09:45:00,2026-05-11 11:49:00,"LCCUser","20분 교반",2026-05-11 10:57:00,2026-05-11 11:17:00,20,20,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050111W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 13:44:00,2026-05-11 14:46:00,"LCCUser","20분 용해",2026-05-11 14:16:00,2026-05-11 14:46:00,20,25,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050111W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 13:44:00,2026-05-11 14:46:00,"LCCUser","20분 용해",2026-05-11 13:44:00,2026-05-11 14:16:00,20,25,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050111W10","GA15001","액상3호","4-R004","4공장 배합실","C03","M/M",2026-05-11 14:29:00,2026-05-11 15:08:00,"LCCUser","10분 교반",2026-05-11 14:29:00,2026-05-11 14:47:00,10,15,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050111W10","GA15001","액상3호","4-R004","4공장 배합실","C03","M/M",2026-05-11 14:29:00,2026-05-11 15:08:00,"LCCUser","20분 교반",2026-05-11 14:47:00,2026-05-11 15:07:00,20,25,2026-05-12 00:00:00
