,WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
0,20220117080000100,PP22041200707,308,7962,364,5975,9270,1
1,20220117080000100,PP22041200707,308,7962,364,5975,9270,1
2,20220117080000400,PP22041200707,319,8351,360,5964,9270,1
3,20220117080000400,PP22041200707,319,8351,360,5964,9270,1
4,20220117080000600,PP22041200707,320,8312,361,5983,9270,1
5,20220117080000600,PP22041200707,320,8312,361,5983,9270,1
6,20220117080000800,PP22041200707,319,8346,359,6049,9275,1
7,20220117080000800,PP22041200707,319,8346,359,6049,9285,1
8,20220117080001000,PP22041200707,320,8323,357,6056,9288,1
9,20220117080001000,PP22041200707,320,8323,357,6056,9289,1
10,20220117080001100,PP22041200707,320,8295,360,6025,9288,1
11,20220117080001100,PP22041200707,320,8295,360,6025,9290,1
12,20220117080001400,PP22041200707,321,8275,361,5992,9300,1
13,20220117080001400,PP22041200707,321,8275,361,5992,9301,1
14,20220117080001600,PP22041200707,308,8294,361,5997,9300,1
15,20220117080001600,PP22041200707,308,8294,361,5997,9303,1
16,20220117080001800,PP22041200707,319,8324,359,6018,9317,1
17,20220117080001800,PP22041200707,319,8324,359,6018,9319,1
18,20220117080002000,PP22041200707,320,8321,360,6046,9320,1
19,20220117080002000,PP22041200707,320,8321,360,6046,9324,1
20,20220117080002300,PP22041200707,320,8309,358,6041,9333,1
21,20220117080002300,PP22041200707,320,8309,358,6041,9335,1
22,20220117080002600,PP22041200707,321,8296,357,6041,9330,1
23,20220117080002600,PP22041200707,321,8296,357,6041,9327,1
24,20220117080002700,PP22041200707,319,8359,365,5948,9328,1
25,20220117080002700,PP22041200707,319,8359,365,5948,9329,1
26,20220117080003000,PP22041200707,308,7934,363,5948,9319,1
27,20220117080003000,PP22041200707,308,7934,363,5948,9310,1
28,20220117080003300,PP22041200707,308,7934,362,6003,9308,1
29,20220117080003300,PP22041200707,308,7934,362,6003,9305,1
30,20220117080003400,PP22041200707,308,7934,359,6038,9300,1
31,20220117080003400,PP22041200707,308,7934,359,6038,9295,1
32,20220117080003800,PP22041200707,308,7934,360,5974,9296,1
33,20220117080003800,PP22041200707,308,7934,360,5974,9290,1
34,20220117080004100,PP22041200707,308,8332,359,6019,9285,1
35,20220117080004100,PP22041200707,308,8332,359,6019,9286,1
36,20220117080004400,PP22041200707,320,8309,362,5973,9279,1
37,20220117080004400,PP22041200707,320,8309,362,5973,9276,1
38,20220117080004600,PP22041200707,320,8302,361,5985,9275,1
39,20220117080004600,PP22041200707,320,8302,361,5985,9270,1
40,20220117080004800,PP22041200707,320,8286,360,6050,9270,1
41,20220117080004800,PP22041200707,320,8286,360,6050,9271,1
42,20220117080005000,PP22041200707,320,8323,363,5948,9276,1
43,20220117080005000,PP22041200707,320,8323,363,5948,9280,1
44,20220117080005400,PP22041200707,320,8305,358,6052,9299,1
45,20220117080005400,PP22041200707,320,8305,358,6052,9300,1
46,20220117080005600,PP22041200707,319,8325,359,6018,9321,1
47,20220117080005600,PP22041200707,319,8325,359,6018,9327,1
48,20220117080005800,PP22041200707,320,8284,360,6022,9270,1
49,20220117080005800,PP22041200707,320,8284,360,6022,9270,1
50,20220117080005900,PP22041200707,319,8308,361,5981,9270,1
51,20220117080005900,PP22041200707,319,8308,361,5981,9270,1
52,20220117080006300,PP22041200707,319,8323,360,5996,9270,1
53,20220117080006300,PP22041200707,319,8323,360,5996,9270,1
54,20220117080006500,PP22041200707,320,8295,359,5982,9275,1
55,20220117080006500,PP22041200707,320,8295,359,5982,9285,1
56,20220117080006600,PP22041200707,308,7934,363,5948,9288,1
57,20220117080006600,PP22041200707,308,7934,363,5948,9289,1
58,20220117080006900,PP22041200707,319,8326,357,6104,9288,1
59,20220117080006900,PP22041200707,319,8326,357,6104,9290,1
60,20220117080007100,PP22041200707,319,8345,358,6097,9300,1
61,20220117080007100,PP22041200707,319,8345,358,6097,9301,1
62,20220117080007400,PP22041200707,321,8293,357,6079,9300,1
63,20220117080007400,PP22041200707,321,8293,357,6079,9303,1
64,20220117080007600,PP22041200707,321,8285,357,6089,9317,1
65,20220117080007600,PP22041200707,321,8285,357,6089,9319,1
66,20220117080007900,PP22041200707,320,8318,357,6091,9320,1
67,20220117080007900,PP22041200707,320,8318,357,6091,9324,1
68,20220117080008100,PP22041200707,308,7934,362,5948,9333,1
69,20220117080008100,PP22041200707,308,7934,362,5948,9335,1
70,20220117080008300,PP22041200707,320,8328,359,6055,9330,1
71,20220117080008300,PP22041200707,320,8328,359,6055,9327,1
72,20220117080008500,PP22041200707,320,8296,358,6031,9328,1
73,20220117080008500,PP22041200707,320,8296,358,6031,9329,1
74,20220117080008700,PP22041200707,321,8276,359,5992,9319,1
75,20220117080008700,PP22041200707,321,8276,359,5992,9310,1
76,20220117080009000,PP22041200707,320,8281,357,6115,9308,1
77,20220117080009000,PP22041200707,320,8281,357,6115,9305,1
78,20220117080009200,PP22041200707,319,8330,361,5994,9300,1
79,20220117080009200,PP22041200707,319,8330,361,5994,9295,1
80,20220117080009500,PP22041200707,321,8234,359,6014,9296,1
81,20220117080009500,PP22041200707,321,8234,359,6014,9290,1
82,20220117080009800,PP22041200707,320,8313,361,6040,9285,1
83,20220117080009800,PP22041200707,320,8313,361,6040,9286,1
84,20220117080010000,PP22041200707,308,7946,362,5983,9279,1
85,20220117080010000,PP22041200707,308,7946,362,5983,9276,1
86,20220117080010200,PP22041200707,320,8292,363,5948,9275,1
87,20220117080010200,PP22041200707,320,8292,363,5948,9270,1
88,20220117080010400,PP22041200707,320,8316,358,6073,9270,1
89,20220117080010400,PP22041200707,320,8316,358,6073,9271,1
90,20220117080010600,PP22041200707,320,8290,362,5991,9276,1
91,20220117080010600,PP22041200707,320,8290,362,5991,9280,1
92,20220117080010800,PP22041200707,319,8316,366,5948,9299,1
93,20220117080010800,PP22041200707,319,8316,366,5948,9300,1
94,20220117080011000,PP22041200707,309,8292,363,6035,9321,1
95,20220117080011000,PP22041200707,309,8292,363,6035,9327,1
96,20220117080011200,PP22041200707,320,8324,364,5948,9270,1
97,20220117080011200,PP22041200707,320,8324,364,5948,9270,1
98,20220117080011500,PP22041200707,319,8330,364,5948,9270,1
99,20220117080011500,PP22041200707,319,8330,364,5948,9270,1
100,20220117080011600,PP22041200707,320,8321,359,6061,9270,1
101,20220117080011600,PP22041200707,320,8321,359,6061,9270,1
102,20220117080012000,PP22041200707,308,7934,360,6040,9275,1
103,20220117080012000,PP22041200707,308,7934,360,6040,9285,1
104,20220117080012300,PP22041200707,321,8295,359,6054,9288,1
105,20220117080012300,PP22041200707,321,8295,359,6054,9289,1
106,20220117080012800,PP22041200707,320,8299,358,6041,9288,1
107,20220117080012800,PP22041200707,320,8299,358,6041,9290,1
108,20220117080012900,PP22041200707,320,8307,362,5995,9300,1
109,20220117080012900,PP22041200707,320,8307,362,5995,9301,1
110,20220117080013100,PP22041200707,320,8301,358,6108,9300,1
111,20220117080013100,PP22041200707,320,8301,358,6108,9303,1
112,20220117080013300,PP22041200707,321,8281,357,6122,9317,1
113,20220117080013300,PP22041200707,321,8281,357,6122,9319,1
114,20220117080013500,PP22041200707,320,8302,361,5997,9320,1
115,20220117080013500,PP22041200707,320,8302,361,5997,9324,1
116,20220117080013700,PP22041200707,321,8278,364,5948,9333,1
117,20220117080013700,PP22041200707,321,8278,364,5948,9335,1
118,20220117080014000,PP22041200707,321,8250,362,5979,9330,1
119,20220117080014000,PP22041200707,321,8250,362,5979,9327,1
120,20220117080014200,PP22041200707,320,8299,361,5996,9328,1
121,20220117080014200,PP22041200707,320,8299,361,5996,9329,1
