date,station,avg_temp,min_temp,max_temp
2018-01-01,131,-0.2,-4.3,4.7
2018-01-02,131,-0.7,-4.2,2.9
2018-01-03,131,-2.6,-5,1.2
2018-01-04,131,-3.2,-6.2,-0.9
2018-01-05,131,-1.2,-3.7,3.3
2018-01-06,131,-0.8,-4.2,3.9
2018-01-07,131,-1.6,-6.9,2
2018-01-08,131,0.9,-0.9,2.2
2018-01-09,131,-2.6,-4.5,-0.3
2018-01-10,131,-5.5,-9.1,-2.1
2018-01-11,131,-9.3,-11.1,-5.8
2018-01-12,131,-9.5,-15.3,-5.9
2018-01-13,131,-4.3,-7.8,-0.5
2018-01-14,131,-2.1,-9.3,4.6
2018-01-15,131,4,0.4,8.8
2018-01-16,131,3.2,-0.1,6.4
2018-01-17,131,3.9,1.9,5.6
2018-01-18,131,3.5,0.9,6
2018-01-19,131,1.1,-2,5.8
2018-01-20,131,1.7,-3.8,7.3
2018-01-21,131,0.6,-3.4,5.4
2018-01-22,131,2.6,-1.6,8.1
2018-01-23,131,-8.1,-10.8,-1.6
2018-01-24,131,-11.9,-14,-8.3
2018-01-25,131,-12,-14.9,-7.9
2018-01-26,131,-12.6,-15,-9.2
2018-01-27,131,-9,-15.8,-2.4
2018-01-28,131,-4.3,-6.6,0.3
2018-01-29,131,-6.8,-8.5,-4
2018-01-30,131,-4.1,-10.2,1.7
2018-01-31,131,-0.6,-3.6,2.9
2018-02-01,131,-2,-6.7,2.9
2018-02-02,131,-2.3,-7.9,3.8
2018-02-03,131,-5.4,-8.6,-2.3
2018-02-04,131,-7.9,-10.3,-4.9
2018-02-05,131,-8,-11.1,-4.5
2018-02-06,131,-8.7,-11.6,-5.1
2018-02-07,131,-7.6,-13.9,-2.1
2018-02-08,131,-3.8,-10.8,3.3
2018-02-09,131,0.9,-6.1,7.7
2018-02-10,131,-0.1,-5.5,5.3
2018-02-11,131,-5.1,-7.7,-0.8
2018-02-12,131,-5.9,-10.2,-3
2018-02-13,131,-1.3,-7.1,3.7
2018-02-14,131,4.2,-2.2,10.5
2018-02-15,131,0.2,-2.4,5.4
2018-02-16,131,0,-5.4,5.8
2018-02-17,131,-1.9,-4.4,2
2018-02-18,131,-0.1,-3.4,3.7
2018-02-19,131,2.1,-3.5,8.1
2018-02-20,131,1.8,-2.6,7
2018-02-21,131,-0.1,-3.1,4.4
2018-02-22,131,1.3,-5.2,7.5
2018-02-23,131,5.2,-0.2,10
2018-02-24,131,5.4,1.1,10.9
2018-02-25,131,3.3,-0.6,9.5
2018-02-26,131,3.7,-4,11.4
2018-02-27,131,6.1,-1.6,13.5
2018-02-28,131,5.3,1.6,9.3
2018-03-01,131,1.1,-2.7,5.3
2018-03-02,131,0.7,-5.2,6.9
2018-03-03,131,8.1,-1.7,17.8
2018-03-04,131,13.5,8.4,21.5
2018-03-05,131,5.6,2,11.4
2018-03-06,131,5.3,-0.4,11.4
2018-03-07,131,5.7,2.4,9.6
2018-03-08,131,2.7,0.2,6.8
2018-03-09,131,3.8,1.7,7.7
2018-03-10,131,4.3,-1,11.2
2018-03-11,131,7.4,3.1,14.2
2018-03-12,131,8.9,0.3,17.4
2018-03-13,131,12.4,3,20.7
2018-03-14,131,15.9,8,23.4
2018-03-15,131,12.8,9.1,15.3
2018-03-16,131,5.7,3.6,9.1
2018-03-17,131,6.9,-0.4,14.5
2018-03-18,131,7.5,3.6,11.5
2018-03-19,131,7.6,5.4,9.7
2018-03-20,131,5.9,2.9,10.2
2018-03-21,131,1.4,-0.6,3.9
2018-03-22,131,5.3,0.3,11.9
2018-03-23,131,6.2,0,13.9
2018-03-24,131,8.7,2.5,16.1
2018-03-25,131,10.4,3.6,19.5
2018-03-26,131,11.9,3.7,19.9
2018-03-27,131,14.2,6.6,21.9
2018-03-28,131,15.3,9,22.1
2018-03-29,131,15.9,10.5,21.4
2018-03-30,131,15.4,11.2,21.4
2018-03-31,131,16.1,9.8,23.5
2018-04-01,131,16,10.2,20.7
2018-04-02,131,18.6,11.8,25.6
2018-04-03,131,19.3,14,26.1
2018-04-04,131,12.7,9.7,18.1
2018-04-05,131,8.5,7.1,9.7
2018-04-06,131,7.3,3.2,12.1
2018-04-07,131,5.2,2.9,9.4
